year,country,historical_name,transition_group,team_score,total_medals,avg_score,best_rank,transition_status
1961,Venezuela,Venezuela,No Change,14,0,4.666666666666667,400,Stable
1961,Vietnam,Vietnam,No Change,118,5,19.666666666666668,100,Stable
1962,Albania,Albania,No Change,51,1,8.5,252,Stable
1962,Algeria,Algeria,No Change,86,1,14.333333333333334,47,Stable
1962,Argentina,Argentina,No Change,90,4,15,82,Stable
1962,Armenia,Armenia,No Change,113,5,18.833333333333332,182,Stable
1962,Australia,Australia,No Change,113,4,18.833333333333332,29,Stable
1962,Austria,Austria,No Change,127,5,21.166666666666668,90,Stable
1962,Azerbaijan,Azerbaijan,No Change,64,1,10.666666666666666,252,Stable
1962,Bangladesh,Bangladesh,No Change,83,2,13.833333333333334,216,Stable
1962,Belarus,Belarus,No Change,165,6,27.5,11,Stable
1962,Belgium,Belgium,No Change,80,3,13.333333333333334,147,Stable
1962,Bhutan,Bhutan,No Change,8,0,1.6,487,Stable
1962,Bolivia,Bolivia,No Change,26,1,6.5,252,Stable
1962,Bosnia and Herzegovina,Bosnia and Herzegovina,No Change,144,6,24,19,Stable
1962,Botswana,Botswana,No Change,15,0,2.5,487,Stable
1962,Brazil,Brazil,No Change,134,6,22.333333333333332,47,Stable
1962,Bulgaria,Bulgaria,No Change,126,5,21,90,Stable
1962,Canada,Canada,No Change,131,5,21.833333333333332,76,Stable
1962,Chile,Chile,No Change,17,0,8.5,366,Stable
1962,Colombia,Colombia,No Change,87,2,14.5,238,Stable
1962,Costa Rica,Costa Rica,No Change,82,2,13.666666666666666,216,Stable
1962,Croatia,Croatia,No Change,116,5,19.333333333333332,125,Stable
1962,Cuba,Cuba,No Change,68,0,11.333333333333334,327,Stable
1962,Cyprus,Cyprus,No Change,88,3,14.666666666666666,125,Stable
1962,Czech Republic,Czech Republic,No Change,103,4,17.166666666666668,100,Stable
1962,Denmark,Denmark,No Change,88,2,14.666666666666666,182,Stable
1962,Dominican Republic,Dominican Republic,No Change,39,0,6.5,366,Stable
1962,Ecuador,Ecuador,No Change,46,1,7.666666666666667,227,Stable
1962,El Salvador,El Salvador,No Change,17,0,5.666666666666667,434,Stable
1962,Estonia,Estonia,No Change,91,2,15.166666666666666,147,Stable
1962,Finland,Finland,No Change,85,2,14.166666666666666,82,Stable
1962,France,France,No Change,133,5,22.166666666666668,29,Stable
1962,Georgia,Georgia,No Change,108,4,18,29,Stable
1962,Germany,Germany,No Change,120,6,20,100,Stable
1962,Ghana,Ghana,No Change,4,0,0.6666666666666666,533,Stable
1962,Greece,Greece,No Change,126,6,21,29,Stable
1962,Honduras,Honduras,No Change,1,0,1,565,Stable
1962,Hong Kong,Hong Kong,No Change,140,6,23.333333333333332,59,Stable
1962,Hungary,Hungary,No Change,155,6,25.833333333333332,5,Stable
1962,Iceland,Iceland,No Change,35,0,5.833333333333333,425,Stable
